Full name of License	License Identifier	Source/url
Open LDAP Public License v2.2.1	OLDAP-2.2.1	http://www.openldap.org/devel/gitweb.cgi?p=openldap.git;a=blob;f=LICENSE;hb=4bc786f34b50aa301be6f5600f58a980070f481e
Open LDAP Public License v2.3	OLDAP-2.3	http://www.openldap.org/devel/gitweb.cgi?p=openldap.git;a=blob;f=LICENSE;hb=d32cf54a32d581ab475d23c810b0a7fbaf8d63c3
Open LDAP Public License v2.4	OLDAP-2.4	http://www.openldap.org/devel/gitweb.cgi?p=openldap.git;a=blob;f=LICENSE;hb=cd1284c4a91a8a380d904eee68d1583f989ed386
Open LDAP Public License v2.5	OLDAP-2.5	http://www.openldap.org/devel/gitweb.cgi?p=openldap.git;a=blob;f=LICENSE;hb=6852b9d90022e8593c98205413380536b1b5a7cf
Open LDAP Public License v2.6	OLDAP-2.6	http://www.openldap.org/devel/gitweb.cgi?p=openldap.git;a=blob;f=LICENSE;hb=1cae062821881f41b73012ba816434897abf4205
Open LDAP Public License v2.7	OLDAP-2.7	http://www.openldap.org/devel/gitweb.cgi?p=openldap.git;a=blob;f=LICENSE;hb=47c2415c1df81556eeb39be6cad458ef87c534a2
Open LDAP Public License v2.8	OLDAP-2.8	http://www.openldap.org/software/release/license.html
Open Market License	OML	https://fedoraproject.org/wiki/Licensing/Open_Market_License
Open Public License v1.0	OPL-1.0	"http://old.koalateam.com/jackaroo/OPL_1_0.TXT
https://fedoraproject.org/wiki/Licensing/Open_Public_License"
Open Software License 1.0	OSL-1.0	http://opensource.org/licenses/OSL-1.0
